                     sport                      dport                        ttl
                    51,367                      1,900                        255
                    51,367                      1,900                        255
                    51,367                      1,900                        255
                    51,367                      1,900                        255
                    51,367                      1,900                        255
                    52,869                      1,900                        255
                    10,203                     10,204                        255
                    10,203                     10,204                        255
                    10,203                     10,204                        255
                    10,203                     10,204                        255
                    10,203                     10,204                        255
                    10,203                     10,204                        255
                    50,328                      1,900                        255
                    50,328                      1,900                        255
                    50,328                      1,900                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     6,771                      6,771                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
                     5,353                      5,353                        255
